DateTime,AddedIPs,RemovedIPs
1557409922,101,83
1557413762,82,76
1557417614,85,71
1557419522,86,83
1557423603,107,89
1557429363,84,73
1557431281,107,96
1557435121,94,93
1557438963,80,142
1557443043,97,136
1557446882,108,116
1557448802,66,95
1557452642,81,94
1557456482,98,125
1557458642,88,114
1557464412,84,87
1557466323,99,74
1557470162,71,64
1557474002,79,66
1557477842,78,74
1557479762,74,70
1557485522,67,46
1557489363,76,44
1557491282,74,73
1557495362,94,70
1557499201,97,77
1557503283,88,80
1557507122,77,123
1557509042,117,87
1557514810,87,84
1557516722,105,96
1557520562,98,82
1557522482,83,118
1557528723,65,106
1557530642,94,115
1557538322,52,87
1557540244,74,79
1557542162,234,173
1557544083,218,304
1557546002,93,100
1557549843,78,77
1557553682,76,69
1557557522,63,58
1557561362,88,56
1557565210,92,60
1557567363,60,92
1557569282,140,103
1557571204,101,85
1557575043,83,58
1557578883,78,71
1557582723,78,62
1557586564,92,78
1557590413,72,87
1557594243,148,138
1557600243,100,90
1557604082,82,79
1557607922,86,85
1557611763,57,102
1557615611,65,93
1557617523,96,116
1557619443,62,90
1557625203,72,92
1557629043,87,105
1557632883,83,115
1557636723,74,69
1557640564,75,70
1557642722,79,57
1557646803,76,51
1557650642,98,66
1557652563,71,66
1557658322,99,72
1557660242,82,55
1557666013,74,74
1557667922,71,65
1557672002,80,58
1557675845,65,74
1557679682,89,70
1557683521,73,67
1557687363,99,87
1557691212,86,93
1557693122,93,86
1557695042,87,99
1557696962,199,240
1557703443,148,229
1557709211,70,85
1557711124,69,82
1557714962,83,103
1557719042,97,108
1557722882,88,82
1557726722,92,86
1557730563,79,66
1557734409,92,56
1557736564,70,84
1557740402,79,62
1557744242,75,52
1557746162,52,75
1557748082,127,98
1557751921,67,63
1557756081,82,75
1557757944,66,2494
1557759843,2447,0
1557761762,99,85
1557765602,92,88
1557769443,110,96
1557773282,111,74
1557777122,92,81
1557780962,113,109
1557784805,63,127
1557786722,68,133
1557788641,108,122
1557792482,33,99
1557800162,75,81
1557802081,79,89
1557805922,94,138
1557807844,87,78
1557811683,122,73
1557815523,82,62
1557819605,90,68
1557823683,83,77
1557827524,73,57
1557831364,83,64
1557833284,79,67
1557837122,85,78
1557839047,97,80
1557845043,79,57
1557848883,65,83
1557852721,90,74
1557856563,96,75
1557858483,107,95
1557860410,95,107
1557862322,139,1721
1557864242,1621,0
1557866161,91,97
1557870002,76,122
1557873842,205,180
1557875763,174,261
1557877682,108,120
1557881522,79,77
1557885363,81,96
1557889213,82,124
1557891123,86,98
1557894962,93,88
1557898802,95,76
1557902641,76,72
1557906482,81,55
1557910322,67,80
1557914162,86,58
