DateTime,Entries,UniqueIPs
1557492993,1507,1581
1557494890,1523,1600
1557496815,1515,1592
1557498735,1509,1587
1557500685,1536,1614
1557502610,1520,1599
1557504526,1514,1594
1557506439,1496,1576
1557508334,1476,1556
1557510251,1469,1546
1557512176,1458,1538
1557514093,1449,1528
1557516024,1451,1528
1557517957,1447,1526
1557519852,1445,1525
1557521820,1443,1524
1557523691,1436,1514
1557525625,1422,1499
1557528784,1424,1500
1557530682,1404,1480
1557532597,1384,1461
1557534492,1382,1459
1557536442,1389,1466
1557538361,1385,1463
1557540267,1380,1457
1557542202,1374,1450
1557544117,1378,1455
1557546019,1372,1446
1557547949,1374,1445
1557549854,1376,1446
1557551779,1368,1434
1557553695,1373,1438
1557555624,1381,1446
1557557535,1378,1443
1557559458,1376,1441
1557561370,1376,1440
1557563294,1369,1433
1557565232,1375,1437
1557567389,1355,1416
1557569314,1372,1435
1557571236,1380,1443
1557573142,1382,1446
1557575063,1388,1450
1557578898,1372,1434
1557580701,1371,1434
1557582738,1373,1436
1557584655,1372,1434
1557586577,1374,1437
1557588493,1383,1449
1557590460,1384,1450
1557594268,1361,1425
1557596174,1361,1423
1557598097,1367,1430
1557600258,1373,1437
1557602179,1377,1441
1557604095,1370,1435
1557606026,1380,1444
1557607933,1383,1446
1557609862,1368,1431
1557611773,1372,1435
1557613695,1372,1435
1557615634,1370,1433
1557617542,1380,1444
1557619463,1379,1441
1557621378,1390,1448
1557625257,1367,1427
1557627145,1357,1418
1557629059,1363,1430
1557630977,1355,1425
1557632898,1351,1420
1557634817,1356,1424
1557636735,1362,1432
1557638656,1369,1443
1557642754,1355,1429
1557644661,1352,1423
1557646822,1358,1430
1557648740,1349,1422
1557650676,1352,1427
1557652577,1341,1417
1557654498,1338,1414
1557656439,1331,1408
1557658361,1340,1418
1557660255,1358,1437
1557662174,1371,1452
1557664115,1403,1484
1557666036,1410,1491
1557667948,1411,1490
1557670126,1404,1483
1557672039,1406,1483
1557673936,1407,1481
1557675875,1398,1474
1557677809,1402,1477
1557679720,1436,1514
1557681622,1441,1515
1557683533,1439,1511
1557685466,1429,1501
1557687576,1430,1504
1557689559,1427,1502
1557691721,1427,1502
1557693612,1433,1507
1557695787,1443,1519
1557697697,1449,1520
1557699637,1443,1514
1557701551,1449,1520
1557703496,1447,1516
1557705372,1455,1524
1557707302,1475,1543
1557709242,1468,1535
1557711163,1498,1566
1557713058,1500,1565
1557714998,1509,1577
1557719075,1485,1550
1557720999,1505,1568
1557722897,1507,1571
1557724821,1507,1572
1557726732,1504,1569
1557728654,1530,1597
1557730571,1537,1602
1557732491,1542,1607
1557734468,1547,1612
1557736593,1559,1626
1557738502,1565,1631
1557740432,1567,1632
1557742344,1580,1645
1557744278,1588,1654
1557746196,1585,1649
1557748095,1583,1648
1557750041,1588,1652
1557751931,1578,1641
1557753860,1578,1641
1557756096,1575,1637
1557758109,1579,1640
1557760344,1548,1603
1557762248,1573,1630
1557764195,1562,1620
1557766091,1559,1615
1557768032,1516,1568
1557769954,1515,1570
1557771877,1510,1566
1557773768,1538,1594
1557775686,1540,1595
1557777623,1550,1607
1557779561,1548,1605
1557781458,1554,1609
1557783379,1552,1605
1557785313,1543,1596
1557787234,1544,1597
1557789132,1530,1582
