DateTime,AddedIPs,RemovedIPs
1557581017,1,3
1557584431,510,0
1557587170,0,2
1557588622,446,444
1557591853,73,58
1557593123,0,255
1557595239,3,0
1557597262,1,1
1557598875,1,1
1557599425,338,356
1557606032,5,0
1557608357,0,4
1557609643,1,0
1557610226,347,368
1557613230,4,0
1557620448,4,256
1557621132,344,323
1557624930,0,4
1557626413,79,168
1557626734,1,0
1557631621,857,837
1557633033,1,0
1557634918,5,0
1557635772,4,3
1557642030,1,0
1557642632,596,589
1557644772,1,0
1557646572,2,3
1557649372,3,0
1557650410,1,1
1557653149,0,16
1557653221,490,487
1557656323,1,0
1557657322,4,0
1557661828,4,0
1557663634,1,0
1557664293,479,467
1557670845,1,0
1557674821,466,463
1557678026,4,1
1557678632,0,510
1557679719,97,93
1557685821,350,347
1557686127,1,0
1557688162,0,2
1557692431,3,0
1557692574,256,0
1557696382,0,40
1557696421,361,362
1557698844,2,1
1557700530,1,0
1557701436,3,0
1557703455,1,0
1557706830,1,0
1557707222,350,374
1557707768,256,0
1557709689,1,5
1557714616,79,124
1557714676,2,0
1557718275,840,857
1557718536,1,0
1557720696,1,0
1557721388,6,0
1557728447,5,0
1557729027,663,661
1557731728,3,6
1557732153,256,0
1557735639,4,0
1557736529,1,0
1557737513,1,0
1557739828,754,741
1557742824,1,0
1557743036,1,0
1557743733,1,0
1557744633,7,0
1557750030,1,0
1557750421,363,350
1557753492,2,6
1557753668,0,1
1557757472,4,3
1557761427,512,501
1557764582,5,8
1557767141,1,0
1557767771,68,81
1557768388,246,512
1557771635,6,0
1557771890,0,256
1557772021,394,383
1557775241,0,3
1557778836,4,0
1557782844,0,38
1557783921,333,334
1557786124,1,2
1557793230,2,0
1557793621,315,262
1557797058,0,1
1557800429,1,0
1557802823,69,93
1557804421,881,830
1557807826,1,0
1557807966,0,3
1557815426,577,534
1557818667,0,3
1557822126,15,0
1557825665,0,21
1557826356,483,430
1557828510,0,3
1557829230,1,0
1557835535,5,0
1557836437,2,0
1557836821,328,327
1557839537,0,3
1557840972,227,256
1557843679,2,0
1557845061,3,2
1557847241,1,0
1557847621,614,602
1557850261,3,3
1557850839,3,0
